xpath,scope,data_type,unit_as_used,unit_in_cura_code,cura_internal_key,occurrences,n_files,coverage_pct,value_range_or_enum,category,ofd_equivalent,orca_prusa_equivalent,harvest_candidate,notes
fdmmaterial/settings//setting[@key='maximum heated chamber temperature'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='move to die distance'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge anti ooze dwell time'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge anti ooze retract position'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge drop dwell time'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge drop retract position'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge retract speed'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='purge unretract speed'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='recommend cleaning after n prints'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings//setting[@key='shrinkage percentage'],(unused),-,-,keep_serialized in XmlMaterialProfile,,0,0,0.0,-,machine_setting,-,-,n,"Supported by the parser, used by 0 of 281 files. "
fdmmaterial/settings/machine/buildplate[@id],(unused),-,-,supported by parser,,0,0,0.0,-,override_scope,-,-,n,Third override scope (build plate). Fully implemented in code incl. buildplate-inside-hotend nesting. Used by 0 of 281 files - the level is dead in the corpus.
fdmmaterial/settings/machine/hotend/buildplate[@id],(unused),-,-,supported by parser,,0,0,0.0,-,override_scope,-,-,n,Deepest scope: machine -> hotend -> buildplate. Used by 0 of 281 files.
